,coords,geometry,net,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,plz
0,"[[10.87430489824844, 49.137130862935734], [10.874303728877766, 49.137185018534325]]","LINESTRING (10.87430489824844 49.137130862935734, 10.874303728877766 49.137185018534325)",0,Line to 1400,NYY 4x16 SE,5,12,0.00602187139935,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
1,"[[10.874066799999998, 49.137260196670255], [10.873925667026102, 49.13730509414484]]","LINESTRING (10.874066799999998 49.137260196670255, 10.873925667026102 49.13730509414484)",0,Line to 1432,NYY 4x16 SE,10,15,0.011445937469219,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
2,"[[10.874144899999997, 49.137129396670204], [10.874088424941663, 49.13707963918224]]","LINESTRING (10.874144899999997 49.137129396670204, 10.874088424941663 49.13707963918224)",0,Line to 1437,NYY 4x16 SE,9,16,0.006899800418249,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
3,"[[10.874144899999997, 49.137129396670204], [10.874066799999998, 49.137260196670255]]","LINESTRING (10.874144899999997 49.137129396670204, 10.874066799999998 49.137260196670255)",0,Line to 1433,NYY 4x35 SE,9,10,0.016956686614438,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
4,"[[10.87430489824844, 49.137130862935734], [10.874144899999997, 49.137129396670204]]","LINESTRING (10.87430489824844 49.137130862935734, 10.874144899999997 49.137129396670204)",0,Line to 1438,NYY 4x35 SE,5,9,0.011679224823252,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
5,"[[10.874554683289503, 49.139123963556415], [10.874641599999999, 49.138036596670474], [10.874548200000001, 49.13751679667033], [10.8745288, 49.137478696670314], [10.874463799999997, 49.137374196670315], [10.874506099999996, 49.13734529667032], [10.874483200000007, 49.13713249667022], [10.87430489824844, 49.137130862935734]]","LINESTRING (10.874554683289503 49.139123963556415, 10.874641599999999 49.138036596670474, 10.874548200000001 49.13751679667033, 10.8745288 49.137478696670314, 10.874463799999997 49.137374196670315, 10.874506099999996 49.13734529667032, 10.874483200000007 49.13713249667022, 10.87430489824844 49.137130862935734)",0,Line to 1401,NYY 4x35 SE,3,5,0.238373570905303,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
6,"[[10.874476000000001, 49.139124696670784], [10.874554683289503, 49.139123963556415]]","LINESTRING (10.874476000000001 49.139124696670784, 10.874554683289503 49.139123963556415)",0,Line to 2251,NYY 4x35 SE,2,3,0.005743323029697,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
7,"[[10.874476000000001, 49.139124696670784], [10.874476000000001, 49.139124696670784]]","LINESTRING (10.874476000000001 49.139124696670784, 10.874476000000001 49.139124696670784)",0,Line to 2250,NYY 4x35 SE,0,2,0.0,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
8,"[[10.873829300000004, 49.138692296670655], [10.873761649993863, 49.13874019337274]]","LINESTRING (10.873829300000004 49.138692296670655, 10.873761649993863 49.13874019337274)",0,Line to 1414,NYY 4x16 SE,8,14,0.007448956897356,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
9,"[[10.874481000000001, 49.139124696670784], [10.874481000000001, 49.139129696670786], [10.874559683289503, 49.139128963556416], [10.874646599999998, 49.138041596670476], [10.874405099999997, 49.13813949667052], [10.874155399999994, 49.13809999667052], [10.874011499999998, 49.13867309667066], [10.873829300000004, 49.138692296670655]]","LINESTRING (10.874481000000001 49.139124696670784, 10.874481000000001 49.139129696670786, 10.874559683289503 49.139128963556416, 10.874646599999998 49.138041596670476, 10.874405099999997 49.13813949667052, 10.874155399999994 49.13809999667052, 10.874011499999998 49.13867309667066, 10.873829300000004 49.138692296670655)",0,Line to 1415,NYY 4x16 SE,0,8,0.249850847212894,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
10,"[[10.873337367039806, 49.138333374210475], [10.873479173237062, 49.13842922770639]]","LINESTRING (10.873337367039806 49.138333374210475, 10.873479173237062 49.13842922770639)",0,Line to 1524,NYY 4x16 SE,7,17,0.016165902718007,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
11,"[[10.874486000000001, 49.139124696670784], [10.874486000000001, 49.13913469667079], [10.874564683289503, 49.13913396355642], [10.874651599999998, 49.13804659667048], [10.874410099999997, 49.13814449667052], [10.874160399999994, 49.13810499667052], [10.873879, 49.138083296670445], [10.8735608, 49.13806349667048], [10.873337367039806, 49.138333374210475]]","LINESTRING (10.874486000000001 49.139124696670784, 10.874486000000001 49.13913469667079, 10.874564683289503 49.13913396355642, 10.874651599999998 49.13804659667048, 10.874410099999997 49.13814449667052, 10.874160399999994 49.13810499667052, 10.873879 49.138083296670445, 10.8735608 49.13806349667048, 10.873337367039806 49.138333374210475)",0,Line to 1525,NYY 4x16 SE,0,7,0.249501985939748,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
12,"[[10.874656989022908, 49.13710341201631], [10.874648010125084, 49.13714027105641]]","LINESTRING (10.874656989022908 49.13710341201631, 10.874648010125084 49.13714027105641)",0,Line to 1406,NYY 4x16 SE,6,13,0.00578276069498,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
13,"[[10.874491, 49.139124696670784], [10.874491, 49.13913969667078], [10.874569683289502, 49.13913896355641], [10.874656599999998, 49.13805159667047], [10.8745632, 49.13753179667033], [10.8745438, 49.13749369667031], [10.874478799999997, 49.13738919667031], [10.874521099999995, 49.137360296670316], [10.874498200000007, 49.13714749667022], [10.874656989022908, 49.13710341201631]]","LINESTRING (10.874491 49.139124696670784, 10.874491 49.13913969667078, 10.874569683289502 49.13913896355641, 10.874656599999998 49.13805159667047, 10.8745632 49.13753179667033, 10.8745438 49.13749369667031, 10.874478799999997 49.13738919667031, 10.874521099999995 49.137360296670316, 10.874498200000007 49.13714749667022, 10.874656989022908 49.13710341201631)",0,Line to 1407,NYY 4x16 SE,0,6,0.244888208375994,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
14,"[[10.872973145775232, 49.13891161333834], [10.872855150014743, 49.138975143356376]]","LINESTRING (10.872973145775232 49.13891161333834, 10.872855150014743 49.138975143356376)",0,Line to 611,NYY 4x16 SE,4,11,0.011720954340704,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
15,"[[10.874496, 49.139124696670784], [10.874496, 49.13914469667078], [10.874574683289502, 49.139143963556414], [10.874575999999994, 49.139205796670794], [10.874570000000006, 49.139264996670846], [10.8743348, 49.139319896670806], [10.874053400000005, 49.13935399667084], [10.873724300000006, 49.13935009667087], [10.873625000000006, 49.13926479667077], [10.872973145775232, 49.13891161333834]]","LINESTRING (10.874496 49.139124696670784, 10.874496 49.13914469667078, 10.874574683289502 49.139143963556414, 10.874575999999994 49.139205796670794, 10.874570000000006 49.139264996670846, 10.8743348 49.139319896670806, 10.874053400000005 49.13935399667084, 10.873724300000006 49.13935009667087, 10.873625000000006 49.13926479667077, 10.872973145775232 49.13891161333834)",0,Line to 612,NYY 4x16 SE,0,4,0.156118718679823,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
0,"[[10.851836787432507, 49.159046334076976], [10.852485900054027, 49.15893559344307]]","LINESTRING (10.851836787432507 49.159046334076976, 10.852485900054027 49.15893559344307)",1,Line to 569,NYY 4x16 SE,44,55,0.048928897867946,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
1,"[[10.85027383485659, 49.15877318538349], [10.850350445391827, 49.15891157241989]]","LINESTRING (10.85027383485659 49.15877318538349, 10.850350445391827 49.15891157241989)",1,Line to 1280,NYY 4x16 SE,10,57,0.016371466289406,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
2,"[[10.850511201012228, 49.158716579552035], [10.850615450023705, 49.158904890078254]]","LINESTRING (10.850511201012228 49.158716579552035, 10.850615450023705 49.158904890078254)",1,Line to 1282,NYY 4x16 SE,13,58,0.02227754359247,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
3,"[[10.850741619060269, 49.15866163006366], [10.85080720988087, 49.15878010942743]]","LINESTRING (10.850741619060269 49.15866163006366, 10.85080720988087 49.15878010942743)",1,Line to 5,NYY 4x16 SE,15,54,0.01401637984211,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
4,"[[10.85088628132095, 49.15862713108472], [10.851012741304256, 49.15885555912306]]","LINESTRING (10.85088628132095 49.15862713108472, 10.851012741304256 49.15885555912306)",1,Line to 1284,NYY 4x16 SE,18,59,0.027023583322326,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
5,"[[10.851263750916086, 49.158544280603245], [10.851330138949887, 49.15873892724582]]","LINESTRING (10.851263750916086 49.158544280603245, 10.851330138949887 49.15873892724582)",1,Line to 1286,NYY 4x16 SE,24,60,0.022178276769532,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
6,"[[10.851693232010751, 49.15868376015155], [10.851539344012641, 49.15871001328487]]","LINESTRING (10.851693232010751 49.15868376015155, 10.851539344012641 49.15871001328487)",1,Line to 1288,NYY 4x16 SE,29,61,0.011599837553614,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
7,"[[10.851869294024276, 49.159128434285755], [10.851645041228569, 49.15916669152709]]","LINESTRING (10.851869294024276 49.159128434285755, 10.851645041228569 49.15916669152709)",1,Line to 1290,NYY 4x16 SE,48,62,0.016903679931931,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
8,"[[10.851920338450324, 49.15925735395491], [10.851482780988816, 49.159332000244184]]","LINESTRING (10.851920338450324 49.15925735395491, 10.851482780988816 49.159332000244184)",1,Line to 1292,NYY 4x16 SE,53,63,0.032982009230614,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
9,"[[10.849399451738543, 49.15878482283319], [10.849415629165021, 49.158678282843105]]","LINESTRING (10.849399451738543 49.15878482283319, 10.849415629165021 49.158678282843105)",1,Line to 1324,NYY 4x16 SE,5,68,0.011904134469989,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
10,"[[10.850789690825135, 49.158650165960836], [10.850733100031643, 49.15854794339405]]","LINESTRING (10.850789690825135 49.158650165960836, 10.850733100031643 49.15854794339405)",1,Line to 1485,NYY 4x16 SE,16,80,0.012093162210437,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
11,"[[10.850501453314239, 49.158718904144195], [10.850389849549629, 49.15851730652994]]","LINESTRING (10.850501453314239 49.158718904144195, 10.850389849549629 49.15851730652994)",1,Line to 1487,NYY 4x16 SE,12,81,0.023849419222453,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
12,"[[10.850511201012228, 49.158716579552035], [10.850450150000322, 49.158604493364635]]","LINESTRING (10.850511201012228 49.158716579552035, 10.850450150000322 49.158604493364635)",1,Line to 1489,NYY 4x16 SE,13,82,0.013235296462463,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
13,"[[10.850011093684184, 49.15880024245349], [10.850030250676594, 49.15892876717533]]","LINESTRING (10.850011093684184 49.15880024245349, 10.850030250676594 49.15892876717533)",1,Line to 1623,NYY 4x16 SE,8,88,0.014358589539645,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
14,"[[10.851062756953091, 49.158585044951735], [10.85112545165234, 49.15869829161256]]","LINESTRING (10.851062756953091 49.158585044951735, 10.85112545165234 49.15869829161256)",1,Line to 1647,NYY 4x16 SE,20,89,0.01339735995068,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
15,"[[10.849594341962664, 49.15879753779795], [10.849618110541872, 49.15864100036456]]","LINESTRING (10.849594341962664 49.15879753779795, 10.849618110541872 49.15864100036456)",1,Line to 1651,NYY 4x16 SE,6,90,0.017490541864127,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
16,"[[10.84999544800363, 49.158801248642725], [10.849972111352336, 49.15864468120726]]","LINESTRING (10.84999544800363 49.158801248642725, 10.849972111352336 49.15864468120726)",1,Line to 1655,NYY 4x16 SE,7,91,0.017491477725418,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
17,"[[10.851799011557237, 49.1589509251493], [10.851603125624594, 49.158984343058926]]","LINESTRING (10.851799011557237 49.1589509251493, 10.851603125624594 49.158984343058926)",1,Line to 1671,NYY 4x16 SE,40,92,0.014765499589039,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
18,"[[10.8517824425655, 49.15890907742559], [10.851308590141388, 49.15898991542168]]","LINESTRING (10.8517824425655 49.15890907742559, 10.851308590141388 49.15898991542168)",1,Line to 1675,NYY 4x16 SE,37,93,0.035718065657186,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
19,"[[10.85182258709615, 49.159010468934895], [10.852104700035603, 49.15896234011441]]","LINESTRING (10.85182258709615 49.159010468934895, 10.852104700035603 49.15896234011441)",1,Line to 1696,NYY 4x16 SE,43,94,0.021265134320704,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
20,"[[10.85184214861228, 49.1590598745499], [10.851343598593086, 49.15914492584914]]","LINESTRING (10.85184214861228 49.1590598745499, 10.851343598593086 49.15914492584914)",1,Line to 1714,NYY 4x16 SE,45,95,0.037579611384785,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
21,"[[10.849297728788674, 49.158778186120315], [10.849254972744534, 49.15905975940368]]","LINESTRING (10.849297728788674 49.158778186120315, 10.849254972744534 49.15905975940368)",1,Line to 1738,NYY 4x16 SE,4,96,0.031461304255115,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
22,"[[10.851133670057289, 49.15856813340608], [10.851033499829269, 49.158387193261056]]","LINESTRING (10.851133670057289 49.15856813340608, 10.851033499829269 49.158387193261056)",1,Line to 1870,NYY 4x16 SE,21,100,0.021405664011392,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
23,"[[10.851754933007943, 49.158839597330946], [10.852191265621993, 49.15876515812074]]","LINESTRING (10.851754933007943 49.158839597330946, 10.852191265621993 49.15876515812074)",1,Line to 2093,NYY 4x16 SE,35,101,0.032890042644653,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
24,"[[10.851715781097464, 49.15874071212456], [10.851930160360418, 49.15870413884236]]","LINESTRING (10.851715781097464 49.15874071212456, 10.851930160360418 49.15870413884236)",1,Line to 2097,NYY 4x16 SE,30,103,0.016159577976187,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
25,"[[10.85191215993218, 49.15923669803838], [10.852354847128318, 49.159161174663936]]","LINESTRING (10.85191215993218 49.15923669803838, 10.852354847128318 49.159161174663936)",1,Line to 2147,NYY 4x16 SE,51,104,0.033368790518805,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
26,"[[10.85191215993218, 49.15923669803838], [10.851920338450324, 49.15925735395491]]","LINESTRING (10.85191215993218 49.15923669803838, 10.851920338450324 49.15925735395491)",1,Line to 1293,NYY 4x95 SE,51,53,0.002373006844034,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
27,"[[10.851869294024276, 49.159128434285755], [10.85191215993218, 49.15923669803838]]","LINESTRING (10.851869294024276 49.159128434285755, 10.85191215993218 49.15923669803838)",1,Line to 2148,NYY 4x95 SE,48,51,0.012437627537524,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
28,"[[10.85184214861228, 49.1590598745499], [10.851869294024276, 49.159128434285755]]","LINESTRING (10.85184214861228 49.1590598745499, 10.851869294024276 49.159128434285755)",1,Line to 1291,NYY 4x95 SE,45,48,0.007876323358388,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
29,"[[10.851836787432507, 49.159046334076976], [10.85184214861228, 49.1590598745499]]","LINESTRING (10.851836787432507 49.159046334076976, 10.85184214861228 49.1590598745499)",1,Line to 1715,NYY 4x95 SE,44,45,0.001555565144005,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
30,"[[10.85182258709615, 49.159010468934895], [10.851836787432507, 49.159046334076976]]","LINESTRING (10.85182258709615 49.159010468934895, 10.851836787432507 49.159046334076976)",1,Line to 570,NYY 4x95 SE,43,44,0.004120281671024,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
31,"[[10.851799011557237, 49.1589509251493], [10.85182258709615, 49.159010468934895]]","LINESTRING (10.851799011557237 49.1589509251493, 10.85182258709615 49.159010468934895)",1,Line to 1697,NYY 4x95 SE,40,43,0.006840545814258,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
32,"[[10.8517824425655, 49.15890907742559], [10.851799011557237, 49.1589509251493]]","LINESTRING (10.8517824425655 49.15890907742559, 10.851799011557237 49.1589509251493)",1,Line to 1672,NYY 4x95 SE,37,40,0.004807575507163,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
33,"[[10.851754933007943, 49.158839597330946], [10.8517824425655, 49.15890907742559]]","LINESTRING (10.851754933007943 49.158839597330946, 10.8517824425655 49.15890907742559)",1,Line to 1676,NYY 4x95 SE,35,37,0.007982053464306,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
34,"[[10.851715781097464, 49.15874071212456], [10.851754933007943, 49.158839597330946]]","LINESTRING (10.851715781097464 49.15874071212456, 10.851754933007943 49.158839597330946)",1,Line to 2094,NYY 4x95 SE,30,35,0.011360187248925,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
35,"[[10.851693232010751, 49.15868376015155], [10.851715781097464, 49.15874071212456]]","LINESTRING (10.851693232010751 49.15868376015155, 10.851715781097464 49.15874071212456)",1,Line to 2098,NYY 4x95 SE,29,30,0.006542788464166,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
36,"[[10.851263750916086, 49.158544280603245], [10.851452099999996, 49.15851659667615], [10.8515751, 49.15851499667611], [10.851693232010751, 49.15868376015155]]","LINESTRING (10.851263750916086 49.158544280603245, 10.851452099999996 49.15851659667615, 10.8515751 49.15851499667611, 10.851693232010751 49.15868376015155)",1,Line to 1289,NYY 4x95 SE,24,29,0.043765776677671,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
37,"[[10.851133670057289, 49.15856813340608], [10.851263750916086, 49.158544280603245]]","LINESTRING (10.851133670057289 49.15856813340608, 10.851263750916086 49.158544280603245)",1,Line to 1287,NYY 4x95 SE,21,24,0.009872967235328,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
38,"[[10.851062756953091, 49.158585044951735], [10.851133670057289, 49.15856813340608]]","LINESTRING (10.851062756953091 49.158585044951735, 10.851133670057289 49.15856813340608)",1,Line to 1871,NYY 4x95 SE,20,21,0.005504339913387,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
39,"[[10.85088628132095, 49.15862713108472], [10.851062756953091, 49.158585044951735]]","LINESTRING (10.85088628132095 49.15862713108472, 10.851062756953091 49.158585044951735)",1,Line to 1648,NYY 4x95 SE,18,20,0.013698183376251,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
40,"[[10.850789690825135, 49.158650165960836], [10.85088628132095, 49.15862713108472]]","LINESTRING (10.850789690825135 49.158650165960836, 10.85088628132095 49.15862713108472)",1,Line to 1285,NYY 4x95 SE,16,18,0.007497423655418,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
41,"[[10.850741619060269, 49.15866163006366], [10.850789690825135, 49.158650165960836]]","LINESTRING (10.850741619060269 49.15866163006366, 10.850789690825135 49.158650165960836)",1,Line to 1486,NYY 4x95 SE,15,16,0.003731362306453,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
42,"[[10.850511201012228, 49.158716579552035], [10.850741619060269, 49.15866163006366]]","LINESTRING (10.850511201012228 49.158716579552035, 10.850741619060269 49.15866163006366)",1,Line to 6,NYY 4x95 SE,13,15,0.017885177819216,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
43,"[[10.850501453314239, 49.158718904144195], [10.850511201012228, 49.158716579552035]]","LINESTRING (10.850501453314239 49.158718904144195, 10.850511201012228 49.158716579552035)",1,Line to 1283,NYY 4x95 SE,12,13,0.000756620894528,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
44,"[[10.85027383485659, 49.15877318538349], [10.850501453314239, 49.158718904144195]]","LINESTRING (10.85027383485659 49.15877318538349, 10.850501453314239 49.158718904144195)",1,Line to 1488,NYY 4x95 SE,10,12,0.017667831296871,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
45,"[[10.850011093684184, 49.15880024245349], [10.85027383485659, 49.15877318538349]]","LINESTRING (10.850011093684184 49.15880024245349, 10.85027383485659 49.15877318538349)",1,Line to 1281,NYY 4x95 SE,8,10,0.019511923968639,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
46,"[[10.84999544800363, 49.158801248642725], [10.850011093684184, 49.15880024245349]]","LINESTRING (10.84999544800363 49.158801248642725, 10.850011093684184 49.15880024245349)",1,Line to 1624,NYY 4x95 SE,7,8,0.001146902572344,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
47,"[[10.849594341962664, 49.15879753779795], [10.849822100000006, 49.15881239667619], [10.84999544800363, 49.158801248642725]]","LINESTRING (10.849594341962664 49.15879753779795, 10.849822100000006 49.15881239667619, 10.84999544800363 49.158801248642725)",1,Line to 1656,NYY 4x95 SE,6,7,0.02940596038319,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
48,"[[10.849399451738543, 49.15878482283319], [10.849594341962664, 49.15879753779795]]","LINESTRING (10.849399451738543 49.15878482283319, 10.849594341962664 49.15879753779795)",1,Line to 1652,NYY 4x95 SE,5,6,0.014288943080067,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
49,"[[10.849297728788674, 49.158778186120315], [10.849399451738543, 49.15878482283319]]","LINESTRING (10.849297728788674 49.158778186120315, 10.849399451738543 49.15878482283319)",1,Line to 1325,NYY 4x95 SE,4,5,0.007458116613365,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
50,"[[10.84901610077643, 49.15875981136619], [10.849297728788674, 49.158778186120315]]","LINESTRING (10.84901610077643 49.15875981136619, 10.849297728788674 49.158778186120315)",1,Line to 1739,NYY 4x95 SE,3,4,0.020648394865365,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
51,"[[10.848996999999999, 49.1588855966762], [10.84901610077643, 49.15875981136619]]","LINESTRING (10.848996999999999 49.1588855966762, 10.84901610077643 49.15875981136619)",1,Line to 2249,NYY 4x95 SE,2,3,0.014054498137021,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
52,"[[10.848996999999999, 49.1588855966762], [10.848996999999999, 49.1588855966762]]","LINESTRING (10.848996999999999 49.1588855966762, 10.848996999999999 49.1588855966762)",1,Line to 2248,NYY 4x95 SE,0,2,0.0,0.193,0.082,0.0,0.0,0.28,1.0,1,,True,91720
53,"[[10.852233511908334, 49.15836311994958], [10.852267356983408, 49.15844291078956]]","LINESTRING (10.852233511908334 49.15836311994958, 10.852267356983408 49.15844291078956)",1,Line to 1316,NYY 4x16 SE,39,64,0.009844857421131,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
54,"[[10.852414240875442, 49.15832744775402], [10.852380650006069, 49.158260040045185]]","LINESTRING (10.852414240875442 49.15832744775402, 10.852380650006069 49.158260040045185)",1,Line to 1318,NYY 4x16 SE,46,65,0.007246010782789,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
55,"[[10.852622882327669, 49.158266357638844], [10.852763837929345, 49.15842682345753]]","LINESTRING (10.852622882327669 49.158266357638844, 10.852763837929345 49.15842682345753)",1,Line to 1448,NYY 4x16 SE,50,71,0.021258850129224,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
56,"[[10.852062556080236, 49.15840166022919], [10.852112750021034, 49.1584935933925]]","LINESTRING (10.852062556080236 49.15840166022919, 10.852112750021034 49.1584935933925)",1,Line to 1471,NYY 4x16 SE,34,74,0.011506063812577,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
57,"[[10.851794057171036, 49.15846751775624], [10.851841200027284, 49.158554093406366]]","LINESTRING (10.851794057171036 49.15846751775624, 10.851841200027284 49.158554093406366)",1,Line to 1473,NYY 4x16 SE,28,75,0.010870106907032,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
58,"[[10.852680383427385, 49.158244513606085], [10.852619713916381, 49.158176402360525]]","LINESTRING (10.852680383427385 49.158244513606085, 10.852619713916381 49.158176402360525)",1,Line to 1475,NYY 4x16 SE,52,76,0.008108454003951,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
59,"[[10.8521873919231, 49.158372223034895], [10.85213589997747, 49.158265740026046]]","LINESTRING (10.8521873919231 49.158372223034895, 10.85213589997747 49.158265740026046)",1,Line to 1538,NYY 4x16 SE,38,85,0.01178293971481,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
60,"[[10.85251750017239, 49.15830639102886], [10.852751829574453, 49.15857271210117]]","LINESTRING (10.85251750017239 49.15830639102886, 10.852751829574453 49.15857271210117)",1,Line to 1828,NYY 4x16 SE,49,97,0.034858991420615,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
61,"[[10.852128328175478, 49.1583855274967], [10.851974950048392, 49.15811994017233]]","LINESTRING (10.852128328175478 49.1583855274967, 10.851974950048392 49.15811994017233)",1,Line to 1847,NYY 4x16 SE,36,99,0.030931969030598,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
62,"[[10.852031283121217, 49.15840933091606], [10.852150346847377, 49.158622214808105]]","LINESTRING (10.852031283121217 49.15840933091606, 10.852150346847377 49.158622214808105)",1,Line to 2095,NYY 4x16 SE,33,102,0.02586303784954,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
63,"[[10.852622882327669, 49.158266357638844], [10.852680383427385, 49.158244513606085]]","LINESTRING (10.852622882327669 49.158266357638844, 10.852680383427385 49.158244513606085)",1,Line to 1476,NYY 4x70 SE,50,52,0.004847029672359,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
64,"[[10.85251750017239, 49.15830639102886], [10.852622882327669, 49.158266357638844]]","LINESTRING (10.85251750017239 49.15830639102886, 10.852622882327669 49.158266357638844)",1,Line to 1449,NYY 4x70 SE,49,50,0.00888313085759,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
65,"[[10.852414240875442, 49.15832744775402], [10.85251750017239, 49.15830639102886]]","LINESTRING (10.852414240875442 49.15832744775402, 10.85251750017239 49.15830639102886)",1,Line to 1829,NYY 4x70 SE,46,49,0.007896541162711,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
66,"[[10.852233511908334, 49.15836311994958], [10.852414240875442, 49.15832744775402]]","LINESTRING (10.852233511908334 49.15836311994958, 10.852414240875442 49.15832744775402)",1,Line to 1319,NYY 4x70 SE,39,46,0.013768322680802,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
67,"[[10.8521873919231, 49.158372223034895], [10.852233511908334, 49.15836311994958]]","LINESTRING (10.8521873919231 49.158372223034895, 10.852233511908334 49.15836311994958)",1,Line to 1317,NYY 4x70 SE,38,39,0.00351351680531,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
68,"[[10.852128328175478, 49.1583855274967], [10.8521873919231, 49.158372223034895]]","LINESTRING (10.852128328175478 49.1583855274967, 10.8521873919231 49.158372223034895)",1,Line to 1539,NYY 4x70 SE,36,38,0.004558047505278,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
69,"[[10.852062556080236, 49.15840166022919], [10.852128328175478, 49.1583855274967]]","LINESTRING (10.852062556080236 49.15840166022919, 10.852128328175478 49.1583855274967)",1,Line to 1848,NYY 4x70 SE,34,36,0.005122496751785,0.268,0.082,0.0,0.0,0.232,1.0,1,,True,91720
