,coords,geometry,net,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,plz
68,"[[10.852111586569823, 49.16319368236221], [10.851985691084856, 49.163078513636776]]","LINESTRING (10.852111586569823 49.16319368236221, 10.851985691084856 49.163078513636776)",8,Line to 1502,NYY 4x16 SE,76,147,0.012438488306152,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
69,"[[10.852111586569823, 49.16319368236221], [10.851598244141531, 49.16343211814461]]","LINESTRING (10.852111586569823 49.16319368236221, 10.851598244141531 49.16343211814461)",8,Line to 1370,NYY 4x35 SE,76,81,0.045916034474971,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
70,"[[10.852235352807652, 49.16313219194895], [10.852111586569823, 49.16319368236221]]","LINESTRING (10.852235352807652 49.16313219194895, 10.852111586569823 49.16319368236221)",8,Line to 1503,NYY 4x35 SE,73,76,0.011326847018075,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
71,"[[10.850243400890772, 49.16111906629231], [10.850243400890772, 49.16114406629231], [10.851061499999997, 49.161438696676896], [10.851407500000004, 49.16154079667694], [10.8518474, 49.16189079667702], [10.851925935340429, 49.16201491025335], [10.85201552456793, 49.162156492030064], [10.8521038, 49.16229599667716], [10.85228400809287, 49.16253391372343], [10.852380204372734, 49.162660914350425], [10.852414225911906, 49.162745736491864], [10.852438099999995, 49.16296699667736], [10.852235352807652, 49.16313219194895]]","LINESTRING (10.850243400890772 49.16111906629231, 10.850243400890772 49.16114406629231, 10.851061499999997 49.161438696676896, 10.851407500000004 49.16154079667694, 10.8518474 49.16189079667702, 10.851925935340429 49.16201491025335, 10.85201552456793 49.162156492030064, 10.8521038 49.16229599667716, 10.85228400809287 49.16253391372343, 10.852380204372734 49.162660914350425, 10.852414225911906 49.162745736491864, 10.852438099999995 49.16296699667736, 10.852235352807652 49.16313219194895)",8,Line to 1359,NYY 4x35 SE,0,73,0.301673031578526,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
72,"[[10.851182336910027, 49.16260399588503], [10.851052949997664, 49.16244314004412]]","LINESTRING (10.851182336910027 49.16260399588503, 10.851052949997664 49.16244314004412)",8,Line to 1356,NYY 4x16 SE,61,125,0.016257148249811,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
73,"[[10.851751876454829, 49.16241772942297], [10.851844211585837, 49.16254880835057]]","LINESTRING (10.851751876454829 49.16241772942297, 10.851844211585837 49.16254880835057)",8,Line to 1360,NYY 4x16 SE,41,127,0.0200117644199,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
74,"[[10.851352162573566, 49.1625484548493], [10.851500549988407, 49.16275334004587]]","LINESTRING (10.851352162573566 49.1625484548493, 10.851500549988407 49.16275334004587)",8,Line to 1362,NYY 4x16 SE,56,128,0.029181071192869,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
75,"[[10.851471190954747, 49.162509527136265], [10.85129702759751, 49.16228970396411]]","LINESTRING (10.851471190954747 49.162509527136265, 10.85129702759751 49.16228970396411)",8,Line to 1498,NYY 4x16 SE,49,145,0.023582760625639,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
76,"[[10.850679368795603, 49.16276849876682], [10.850858799985946, 49.163014243363804]]","LINESTRING (10.850679368795603 49.16276849876682, 10.850858799985946 49.163014243363804)",8,Line to 1500,NYY 4x16 SE,77,146,0.034257628751563,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
77,"[[10.851182336910027, 49.16260399588503], [10.850679368795603, 49.16276849876682]]","LINESTRING (10.851182336910027 49.16260399588503, 10.850679368795603 49.16276849876682)",8,Line to 1501,NYY 4x35 SE,61,77,0.040994655887542,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
78,"[[10.851352162573566, 49.1625484548493], [10.851182336910027, 49.16260399588503]]","LINESTRING (10.851352162573566 49.1625484548493, 10.851182336910027 49.16260399588503)",8,Line to 1357,NYY 4x35 SE,56,61,0.013841603703555,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
79,"[[10.851471190954747, 49.162509527136265], [10.851352162573566, 49.1625484548493]]","LINESTRING (10.851471190954747 49.162509527136265, 10.851352162573566 49.1625484548493)",8,Line to 1363,NYY 4x35 SE,49,56,0.009701379347494,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
80,"[[10.851751876454829, 49.16241772942297], [10.851471190954747, 49.162509527136265]]","LINESTRING (10.851751876454829 49.16241772942297, 10.851471190954747 49.162509527136265)",8,Line to 1499,NYY 4x35 SE,41,49,0.02287726422343,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
81,"[[10.850248400890772, 49.16111906629231], [10.850248400890772, 49.16114906629231], [10.851066499999996, 49.1614436966769], [10.851412500000004, 49.16154579667694], [10.8518524, 49.16189579667702], [10.8521088, 49.16230099667716], [10.851751876454829, 49.16241772942297]]","LINESTRING (10.850248400890772 49.16111906629231, 10.850248400890772 49.16114906629231, 10.851066499999996 49.1614436966769, 10.851412500000004 49.16154579667694, 10.8518524 49.16189579667702, 10.8521088 49.16230099667716, 10.851751876454829 49.16241772942297)",8,Line to 1361,NYY 4x35 SE,0,41,0.226871404015521,0.524,0.085,0.0,0.0,0.159,1.0,1,,True,91720
82,"[[10.851619590684512, 49.162467628630246], [10.851520470302352, 49.16234820039486]]","LINESTRING (10.851619590684512 49.162467628630246, 10.851520470302352 49.16234820039486)",8,Line to 1348,NYY 4x16 SE,44,120,0.010488989986164,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
83,"[[10.851045549680936, 49.16265536975653], [10.850926226793435, 49.16250934730062]]","LINESTRING (10.851045549680936 49.16265536975653, 10.850926226793435 49.16250934730062)",8,Line to 1354,NYY 4x16 SE,66,124,0.013793094025276,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
84,"[[10.850852640081518, 49.16271846362107], [10.85089570000973, 49.16278624006566]]","LINESTRING (10.850852640081518 49.16271846362107, 10.85089570000973 49.16278624006566)",8,Line to 1364,NYY 4x16 SE,71,129,0.01276862568371,1.15,0.09,0.0,0.0,0.103,1.0,1,,True,91720
