urbs_name,import,import_hp,feed_in,Slack,Q_feeder_central,Rooftop PV,Gas boiler,Heat_dummy_space,Heat_dummy_water,heatpump_air,heatpump_air_heizstrom,elec_hp_to_usable,curtailment,Slack_heat,charging_station
Trafostation_OS,1000,1000,1000,1000,,,,,,,,,,,
main_busbar,,,,,1000,,,,,,,,,,
Consumer Nodebus 4,,,,,,0,,150,150,0,0,150,150,150,11
Consumer Nodebus 7,,,,,,0,,150,150,0,0,150,150,150,11
Consumer Nodebus 12,,,,,,0,,150,150,0,0,150,150,150,11
Consumer Nodebus 14,,,,,,0,,150,150,0,0,150,150,150,11
Consumer Nodebus 17,,,,,,0,,150,150,0,0,150,150,150,11
Consumer Nodebus 19,,,,,,0,,150,150,0,0,150,150,150,11
