bid,footprint_area,PV_cap_kW,use,free_walls,lat,lon,dist_to_heat_source,year_class,size_class,floors,storey_area,area_corr_factor,heated_area,window_area,dwellings,dwelling_size,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,U,V,C,Tau,Tset,act_start,act_end,hw_demand_day,hw_tank_cap,,,,,,,,,,,
119,218.26,21.826,3,4,48.199,11.511,0,5,0,1,218.26,0.84,183.34,41.17,2,91.67,4,1,1,1,1,509.87,93.5,101440957.3,168123.99,21,0,23,0.03,0.05,44154546.67,7930068.49,403960,240834.22,43253.35,2203.34,1107675.65,17.63,45262222.33,246875.87,8078146
120,81.93,8.193,3,4,48.206,11.557,0,5,0,1,81.93,0.84,68.82,15.45,2,34.41,2,2,1,1,1,164.91,35.1,38076975.51,190379.15,21,0,23,0.04,0.06,14532055.95,2993967.18,200308,211160.36,43504.32,2910.61,1395321.59,22.22,15927377.54,231435.3,4699981
121,91.51,9.151,3,4,48.196,11.544,0,5,0,1,91.51,0.84,76.87,17.26,2,38.44,2,1,1,1,1,213.78,39.2,42532823.56,168123.99,18,0,23,0.05,0.07,16006374.75,2277570.76,201066,208226.55,29628.86,2615.66,1581577.14,25.2,17587951.88,228801.25,2989766
122,92.76,9.276,3,4,48.197,11.554,0,5,0,1,92.76,0.84,77.92,17.5,2,38.96,3,1,2,1,2,119.57,39.74,43112326.86,270614.73,20,0,23,0.04,0.06,10848119.05,2731338.66,265340,139221.24,35053.11,3405.29,1331724.35,21.17,12179843.4,156312.16,5707146
123,132.34,13.234,3,4,48.211,11.554,0,5,0,1,132.34,0.84,111.16,24.96,2,55.58,4,1,1,1,2,271.7,56.69,61506464.33,187293.6,18,0,23,0.09,0.14,20622906.42,3084385.24,384168,185524.53,27747.26,3455.99,2312350.7,36.85,22935257.12,206326.53,6497943
124,120.17,12.017,3,4,48.206,11.563,0,5,0,1,120.17,0.84,100.94,22.67,2,50.47,2,1,1,2,2,221.99,51.48,55851749.7,204231.3,18,0,23,0.05,0.07,17283439.48,2798987.94,191374,171224.88,27729.22,1895.92,1504212.17,23.91,18787651.66,186126.92,4149298
125,135.08,13.508,3,4,48.198,11.517,0,5,0,1,135.08,0.84,113.47,25.48,2,56.73,1,2,2,1,1,168.69,57.87,62781720.48,277103.82,21,0,23,0.1,0.15,16281606.59,4450468.63,185564,143488.2,39221.54,1635.36,2542970.47,40.44,18824577.06,165899.15,3651069
126,86.42,8.642,3,4,48.2,11.527,0,5,0,1,86.42,0.84,72.59,16.3,1,72.59,1,2,2,2,2,65.69,37.02,40166222.89,391056.71,19,0,23,0.01,0.01,6713639.89,1608887.18,82954,92487.12,22164.03,1142.77,779546.65,12.41,7493186.54,103226.15,2416409
127,154.49,15.449,3,4,48.212,11.544,0,5,1,2,308.98,0.84,259.55,49.86,2,129.77,4,1,1,1,1,370.2,66.18,62011663.42,142104.76,20,0,23,0.07,0.1,28178756.02,8017483.6,407808,108567.74,30889.94,1571.21,1910702.17,30.4,30089458.2,115929.33,9263115
128,61.75,6.175,3,4,48.202,11.539,0,5,1,2,123.5,0.84,103.74,19.93,1,103.74,2,2,2,1,2,65.8,26.45,24785180.32,268679.88,21,0,23,0.06,0.09,5927786.69,2678425.48,178698,57140.8,25818.64,1722.56,1769107.85,28.11,7696894.54,74194.09,3287506
129,65.43,6.543,3,4,48.211,11.546,0,5,1,2,130.86,0.84,109.92,21.12,1,109.92,1,2,1,2,2,107.52,28.03,26262937.49,193751.87,22,0,23,0.08,0.11,9057582.44,3706244.73,104966,82401.59,33717.66,954.93,2158933.73,34.36,11216516.17,102042.54,1450525
130,604.2,60.42,3,4,48.201,11.539,0,5,1,2,1208.4,0.84,1015.05,195.01,2,507.53,4,1,1,1,2,1155.27,258.84,242519782.2,171499.77,21,0,23,0.76,1.15,93071044.23,33629341.86,403130,91691.09,33130.72,397.15,14398964.9,228.77,107470009.1,105876.57,6874067
131,165.11,16.511,3,4,48.195,11.534,0,5,1,2,330.22,0.84,277.38,53.29,2,138.69,2,2,1,2,1,351.25,70.73,66272810.31,157050.2,18,0,23,0.21,0.31,24887545.58,5896233.36,191470,89723.65,21256.88,690.28,4462266.61,71.02,29349812.2,105810.85,3236810
