bid,footprint_area,PV_cap_kW,use,free_walls,floors,dwellings,occupants,ref_level_roof,ref_level_wall,ref_level_floor,ref_level_window,lat,lon,C,Tau,Tset,U,V,act_end,act_start,area_corr_factor,dist_to_heat_source,dwelling_size,heated_area,hw_demand_day,hw_tank_cap,size_class,storey_area,window_area,year_class
1,151.573007073353,30.00,Residential,4,1,1,4.000000000000000,0E-15,1.000000000000000,0E-15,0E-15,11.05892824998685,49.71299989366882,,,,,,,,,,,,,,,,,
2,148.525087002981,30.00,Residential,4,1,1,3.000000000000000,0E-15,1.000000000000000,0E-15,0E-15,11.05935399998372,49.71284854366554,,,,,,,,,,,,,,,,,
3,126.053216723911,30.00,Residential,4,1,1,3.000000000000000,0E-15,0E-15,0E-15,1.000000000000000,11.05957465000782,49.71276339367193,,,,,,,,,,,,,,,,,
4,111.316695996136,30.00,Residential,4,1,1,5.000000000000000,1.000000000000000,1.000000000000000,0E-15,0E-15,11.05961941829573,49.71237559119557,,,,,,,,,,,,,,,,,
5,134.839061732386,30.00,Residential,4,1,1,5.000000000000000,0E-15,0E-15,0E-15,0E-15,11.05958815001002,49.71257409367376,,,,,,,,,,,,,,,,,
6,513.557281172465,300.00,Residential,4,1,10,4.000000000000000,0E-15,0E-15,1.000000000000000,0E-15,11.05904223856793,49.71285310034163,,,,,,,,,,,,,,,,,
